t,x
0,4.758840154873036e-06
1,4.752602857658742e-06
2,4.743655858649817e-06
3,4.733478291971512e-06
4,4.723366082652995e-06
5,4.7126260780918865e-06
6,4.701478778104906e-06
7,4.692352571378297e-06
8,4.685292380460504e-06
9,4.677863961934326e-06
10,4.6708401964316335e-06
11,4.669108243109804e-06
12,4.676452155201777e-06
13,4.6918708084717685e-06
14,4.710875314886713e-06
15,4.729420369102324e-06
16,4.7471100468573744e-06
17,4.766430852595836e-06
18,4.789588689062899e-06
19,4.817240501433154e-06
20,4.84812024579195e-06
21,4.8792502117139725e-06
22,4.908950276363561e-06
23,4.938806609482792e-06
24,4.971285392301238e-06
25,5.0065674809663615e-06
26,5.042093971587277e-06
27,5.07550622806944e-06
28,5.107435346311204e-06
29,5.138486469281616e-06
30,5.167701049086223e-06
31,5.195146024116686e-06
32,5.220323537307519e-06
33,5.241374956822817e-06
34,5.25771539771143e-06
35,5.270206677695675e-06
36,5.280376426418403e-06
37,5.292369626152871e-06
38,5.310844812677373e-06
39,5.335681048757258e-06
40,5.364261347691403e-06
41,5.396475485091144e-06
42,5.434081851803109e-06
43,5.478315277964937e-06
44,5.530274110814203e-06
45,5.5920683463276785e-06
46,5.666112794125268e-06
47,5.7529061123647685e-06
48,5.849216066522047e-06
49,5.94905911325591e-06
50,6.048175419650135e-06
51,6.1466821528218655e-06
52,6.2457631624788146e-06
53,6.3455147514923535e-06
54,6.447706211803867e-06
55,6.55377806821616e-06
56,6.660114960851566e-06
57,6.764599553126428e-06
58,6.871961475940991e-06
59,6.987194020933805e-06
60,7.113451927193099e-06
61,7.2538366877347245e-06
62,7.409555990596794e-06
63,7.579389873745144e-06
64,7.762163232933219e-06
65,7.958720264889148e-06
66,8.169437772695765e-06
67,8.39141183962907e-06
68,8.62066116935592e-06
69,8.854386515874039e-06
70,9.091065120518144e-06
71,9.331151607382424e-06
72,9.573634122022662e-06
73,9.810694084931812e-06
74,1.0034843085147706e-05
75,1.0245614037344006e-05
76,1.0443199710537964e-05
77,1.0629252661084508e-05
78,1.0810416095118052e-05
79,1.0993115760981418e-05
80,1.1181654653815997e-05
81,1.1381189692212348e-05
82,1.1595968765640961e-05
83,1.1823094678331723e-05
84,1.2052035734477939e-05
85,1.2273075492648471e-05
86,1.2485288004917412e-05
87,1.2694079844507775e-05
88,1.2901700899276795e-05
89,1.3103025569729613e-05
90,1.3290635266063862e-05
91,1.3461331856537173e-05
92,1.3616939849608268e-05
93,1.3761436449727312e-05
94,1.3898981929675533e-05
95,1.4031399158111886e-05
96,1.4154660909496068e-05
97,1.4264712301043006e-05
98,1.436378280780265e-05
99,1.4452741471041968e-05
100,1.4528206717613978e-05
101,1.4588192287906463e-05
102,1.463344686047763e-05
103,1.4668007333687125e-05
104,1.4699335804430035e-05
105,1.4734361069172528e-05
106,1.4776344664254426e-05
107,1.4827215436691895e-05
108,1.4890311691486433e-05
109,1.4967086491154295e-05
110,1.5051728537407394e-05
111,1.5133034615202256e-05
112,1.5202571620525188e-05
113,1.5258525324087279e-05
114,1.5301174688277784e-05
115,1.5330426430633183e-05
116,1.534786767687065e-05
117,1.535420503305683e-05
118,1.5349405997645772e-05
119,1.5335564202730886e-05
120,1.5313552606376146e-05
121,1.528149071963721e-05
122,1.5239553289146892e-05
123,1.5193040222748663e-05
124,1.5146367292365119e-05
125,1.509891937182813e-05
126,1.5051059546020086e-05
127,1.5007324891587051e-05
128,1.4970901800008284e-05
129,1.4938898609538634e-05
130,1.4903722917309666e-05
131,1.4860171557363806e-05
132,1.4810424925123038e-05
133,1.4758020127740728e-05
134,1.4701108700461288e-05
135,1.4636517621600383e-05
136,1.4564510614328394e-05
137,1.4486519233884197e-05
138,1.4404164129000245e-05
139,1.4318167979600936e-05
140,1.422680918911302e-05
141,1.4129807305657793e-05
142,1.4031226671715204e-05
143,1.3933895600053422e-05
144,1.3834609768978007e-05
145,1.3730998588148747e-05
146,1.3628906658070563e-05
147,1.3534088335418378e-05
148,1.3445097075711208e-05
149,1.3364637497217448e-05
150,1.3300912275683064e-05
151,1.3256086104352635e-05
152,1.3227706651258383e-05
153,1.3213381177964359e-05
154,1.3208333973781792e-05
155,1.320495875355182e-05
156,1.3196041517259234e-05
157,1.3179480209595414e-05
158,1.3159288748108447e-05
159,1.3138628421524079e-05
160,1.3118175907252906e-05
161,1.310343219300442e-05
162,1.3104778147466192e-05
163,1.31253244156392e-05
164,1.3153930262929198e-05
165,1.3181409265408252e-05
166,1.3211006422926326e-05
167,1.3241204278954615e-05
168,1.3267559849877429e-05
169,1.3296738837833316e-05
170,1.333282378971673e-05
171,1.3368358278884892e-05
172,1.339805558823602e-05
173,1.3426205095479154e-05
174,1.3459337931875235e-05
175,1.35021949323683e-05
176,1.3556637427291956e-05
177,1.3616743528231847e-05
178,1.3671028957053808e-05
179,1.3713688421297248e-05
180,1.3748769056180205e-05
181,1.3781208381223303e-05
182,1.3808319632832179e-05
183,1.3825349982005268e-05
184,1.3831730807332098e-05
185,1.3828587070716244e-05
186,1.3816537499423663e-05
187,1.3796497143953421e-05
188,1.3772176353535026e-05
189,1.3745179831377282e-05
190,1.3713888429153876e-05
191,1.3679724425803237e-05
192,1.3646923971816636e-05
193,1.3619441281356983e-05
194,1.3599735337279126e-05
195,1.358900231900296e-05
196,1.358634716559061e-05
197,1.3585045556620643e-05
198,1.35797790364654e-05
199,1.3576729501913865e-05
200,1.3583401041108283e-05
201,1.3599610069615956e-05
202,1.361763261110495e-05
203,1.3631228565805043e-05
204,1.3645801118043887e-05
205,1.3667485251121118e-05
206,1.3694065265073522e-05
207,1.371783515122951e-05
208,1.3731757249974514e-05
209,1.3735049859029638e-05
210,1.3728438569132557e-05
211,1.3713558779089772e-05
212,1.3695533164724345e-05
213,1.3674888703360653e-05
214,1.3647919562741797e-05
215,1.3615602482603225e-05
216,1.3582381241237e-05
217,1.355171055893785e-05
218,1.3527414320364254e-05
219,1.3513383009469503e-05
220,1.3506922747292754e-05
221,1.349999079214398e-05
222,1.3490399499006695e-05
223,1.3481398459934978e-05
224,1.347393615725223e-05
225,1.3469915040368397e-05
226,1.3474727760598297e-05
227,1.348792954244948e-05
228,1.350173007570839e-05
229,1.3514679103309995e-05
230,1.3532700470929655e-05
231,1.3554681785110167e-05
232,1.3571971815105711e-05
233,1.3579012254793861e-05
234,1.3575736706891078e-05
235,1.3566492259302785e-05
236,1.355489792323655e-05
237,1.3540585084124423e-05
238,1.352627614438097e-05
239,1.3516580933976777e-05
240,1.3511577244267593e-05
241,1.3509366354606722e-05
242,1.3508179721167427e-05
243,1.3504637941406377e-05
244,1.3500029321794405e-05
245,1.3502715504612351e-05
246,1.3515102517448915e-05
247,1.3531586249692949e-05
248,1.3545365829588185e-05
249,1.3551651349829146e-05
250,1.354955923450442e-05
251,1.3538339624882232e-05
252,1.3516861983612584e-05
253,1.348769754898984e-05
