iter	TotalF1	MultiClass
70	0.6122597173	0.7346316137
71	0.6127132098	0.7344060658
72	0.6139628991	0.7342151668
73	0.6139454213	0.7338726407
74	0.6139454213	0.7338108353
75	0.6152655679	0.7332808008
76	0.6161952058	0.7324496126
77	0.6168048071	0.732257664
78	0.6169059097	0.7322277218
79	0.6165481715	0.7313199163
80	0.6181662136	0.731052715
81	0.6179751442	0.7307482765
82	0.6208625044	0.7286225832
83	0.6209964096	0.7284339461
84	0.6214070597	0.7278378997
85	0.622224677	0.7275173666
86	0.6228753342	0.723908773
87	0.6228487669	0.7234785425
88	0.6237169048	0.7224548281
89	0.6242986881	0.7221430348
90	0.6246318592	0.722104615
91	0.6247219248	0.7208051581
92	0.6256817449	0.7204002263
93	0.6267446495	0.719863046
94	0.6272241854	0.7187662583
95	0.6265982678	0.7184778833
96	0.6293763778	0.7166086443
97	0.6303705588	0.7130046341
98	0.6309061432	0.7121877684
99	0.6312122177	0.7117158046
100	0.6327146638	0.7107129092
101	0.632581681	0.7102722671
102	0.6338917518	0.706682914
103	0.6359209764	0.7047513624
104	0.6394099047	0.7029687138
105	0.640288639	0.7012336403
106	0.6429743699	0.6987150308
107	0.6450060481	0.6975970552
108	0.6439184565	0.697240712
109	0.6479799546	0.6960730387
110	0.6511088891	0.6943353835
111	0.6526353512	0.6926654242
112	0.6551173009	0.6908940182
113	0.6553833208	0.6884214381
114	0.656504476	0.6872020069
115	0.6594932118	0.6856905547
116	0.6622654788	0.6833796838
117	0.666511957	0.6819727974
118	0.6671825318	0.6810092762
119	0.6690536977	0.6795324513
120	0.6709949234	0.6782962576
121	0.6740076978	0.6757625993
122	0.6747407296	0.6747753025
123	0.675565876	0.6736705139
124	0.6777714856	0.6724343961
125	0.6785441208	0.6713045342
126	0.6798924632	0.670543899
127	0.6822173472	0.6696786328
128	0.6832847365	0.6686833557
129	0.6841943063	0.6677649959
130	0.6846850111	0.6669596935
131	0.6857436746	0.6658024348
132	0.6868163441	0.6648562496
133	0.6873805281	0.664037014
134	0.6882247936	0.6627696827
135	0.6883911753	0.6627488969
136	0.68954971	0.6622961729
137	0.6893776827	0.6622045155
138	0.6898589406	0.6605011427
139	0.6899287079	0.660462116
140	0.6899977068	0.6601920353
141	0.6892644087	0.6591144698
142	0.6892857315	0.6587006721
143	0.6906760466	0.6578118302
144	0.6917888678	0.6570818526
145	0.6928995321	0.6566054685
146	0.6925438113	0.6563938541
147	0.6941292327	0.6556431133
148	0.6930436606	0.6540699466
149	0.6955461814	0.6527977437
150	0.6969582792	0.6518975652
151	0.6986224848	0.6508639148
152	0.6989701418	0.6503670003
153	0.6993904699	0.6493315345
154	0.6997639057	0.6478889815
155	0.701275277	0.6470929117
156	0.701475923	0.6463381421
157	0.7030047675	0.6453192611
158	0.703170741	0.6444653607
159	0.702878752	0.6444374708
160	0.7038663628	0.6436573384
161	0.7040568151	0.6436317986
162	0.7039779736	0.6425772
163	0.704269316	0.6425516364
164	0.7040007633	0.6416714778
165	0.7052844577	0.6409552355
166	0.7054298738	0.6409313273
167	0.7055261562	0.6403855489
168	0.7052606827	0.6403733726
169	0.7057324556	0.6396783596
170	0.7058548295	0.6394893495
171	0.7057932199	0.6390658107
172	0.7070611614	0.6382049462
173	0.7072976355	0.6375566559
174	0.7071853874	0.6375252142
175	0.7072976355	0.637496589
176	0.707632141	0.6370492864
177	0.7089957316	0.63579045
178	0.7089848697	0.6357616046
179	0.7083855708	0.6349161595
180	0.7087089635	0.6341199719
181	0.7097035287	0.6339533519
182	0.7097035287	0.6339368306
183	0.7103697991	0.6330888336
184	0.7104716235	0.6330664396
185	0.7106350405	0.6326900831
186	0.7106447723	0.6324525078
187	0.7116378039	0.6318771372
188	0.7113590278	0.6318354538
189	0.7113590278	0.6318168577
190	0.7121119958	0.6312767937
191	0.7132883946	0.6301276504
192	0.7134333851	0.6301018856
193	0.7142384159	0.6289220943
194	0.7140258637	0.6283544988
195	0.7147482749	0.6273788171
196	0.7152631385	0.6268053226
197	0.7156355557	0.6263070078
198	0.7160815336	0.626217652
199	0.7161629719	0.625639604
200	0.7160439687	0.6248803254
201	0.7161656212	0.624529343
202	0.7166168103	0.6237781212
203	0.7166168103	0.6237456249
204	0.7170429606	0.6232634885
205	0.7172772939	0.622923226
206	0.7173874444	0.6220210769
207	0.7183651746	0.6214411826
208	0.7185091728	0.6214030131
209	0.7204098652	0.6207900526
210	0.7203869561	0.6201461949
211	0.7202407795	0.6196018293
212	0.720721191	0.6186700899
213	0.7206051413	0.618234466
214	0.7206354691	0.6181992671
215	0.7206354691	0.6181868597
216	0.7210374981	0.6175166406
217	0.7212047059	0.6172909859
218	0.7222513591	0.6164338758
219	0.7224053602	0.61641152
220	0.722516165	0.6163836235
221	0.7227403605	0.6163732688
222	0.7231990126	0.6158296627
223	0.7238544947	0.615653182
224	0.7234402924	0.6152044195
225	0.7231840908	0.6144927299
226	0.7235378992	0.6134961447
227	0.7232815696	0.6128617507
228	0.7236214067	0.6126536476
229	0.7236214067	0.6126229354
230	0.7231852045	0.6122848624
231	0.7245330061	0.6117033773
232	0.7243789949	0.6116866229
233	0.7244596726	0.6114464621
234	0.7242291019	0.6112184075
235	0.7246585679	0.6109073191
236	0.7246040906	0.6099984142
237	0.7255338015	0.6088919971
238	0.7261115354	0.6077957488
239	0.7262541918	0.6077786908
240	0.7264348994	0.6065719063
241	0.7276377977	0.605950747
242	0.7282346664	0.6056204033
243	0.7286021079	0.604627445
244	0.7284273091	0.6039581407
245	0.729773238	0.602962666
246	0.7315587768	0.6023018255
247	0.7312878475	0.6016869594
248	0.7315029753	0.6015164298
249	0.7316445821	0.6014931109
250	0.7313890103	0.6014586928
251	0.7321512858	0.6009492611
252	0.7322263753	0.6006128275
253	0.7329318754	0.599855536
254	0.7328298164	0.5996720799
255	0.7342113326	0.5993845712
256	0.7358724805	0.5986825359
257	0.7354800179	0.5979210902
258	0.7355066044	0.5979050977
259	0.7366147029	0.5969374635
260	0.7383361784	0.5962712486
261	0.7381918206	0.5962534425
262	0.7381936216	0.5958094184
263	0.7379478509	0.5953517217
264	0.7384340046	0.5948487354
265	0.7381789443	0.5948041265
266	0.7382933622	0.5947849915
267	0.7382933622	0.5947731223
268	0.7387772019	0.5944734085
269	0.7391533933	0.594012404
270	0.739359823	0.5933682826
271	0.7399506418	0.5927840611
272	0.7399423844	0.59263768
273	0.7406091233	0.5920461812
274	0.7405579988	0.5914379428
275	0.7408223392	0.5914222929
276	0.740619076	0.5908525244
277	0.7411247689	0.5908247207
278	0.7409844947	0.5908047873
279	0.7408279662	0.5901307071
280	0.7414474229	0.5891639013
281	0.7414474229	0.5891548027
282	0.7417896595	0.5888722182
283	0.7416495836	0.5886490914
284	0.741647961	0.5885922307
285	0.7422649856	0.5878901926
286	0.7422392033	0.5874976291
287	0.7420877277	0.5874481178
288	0.7423577107	0.5872252524
289	0.7427774786	0.5869226787
290	0.743625757	0.5865482575
291	0.7435338543	0.585982187
292	0.7441449623	0.5854708527
293	0.744209755	0.5852996621
294	0.7446154679	0.5850764678
295	0.7448827351	0.5845595614
