iter	TotalF1	MultiClass
0	0.5606837432	1.051213035
1	0.5490908528	1.02016926
2	0.5495707329	0.9937479664
3	0.5406336709	0.9714840596
4	0.5262645668	0.9536544074
5	0.5231977512	0.9366782606
6	0.5191402913	0.921766827
7	0.4382071478	0.9089085163
8	0.4240539317	0.9013726002
9	0.5136349801	0.8842713676
10	0.5197929595	0.8719419021
11	0.5186168152	0.863139014
12	0.5260692668	0.8535888224
13	0.5254359393	0.8468704558
14	0.5138440052	0.8441616047
15	0.5163170099	0.8389099831
16	0.5467336451	0.8301329244
17	0.5504568453	0.8236682676
18	0.561649419	0.8185085176
19	0.5622997369	0.8150766255
20	0.5666769167	0.808926495
21	0.573209448	0.8012714424
22	0.5733336923	0.7994121091
23	0.5753204795	0.7970949425
24	0.5745900997	0.7920095252
25	0.5746965016	0.7897674532
26	0.5771896675	0.7844646359
27	0.5768108083	0.7813394369
28	0.5768119168	0.7805725324
29	0.5795939338	0.7724853704
30	0.5810558161	0.7701793017
31	0.5791857591	0.7698010014
32	0.5816081892	0.7680551955
33	0.5836326345	0.7654802131
34	0.5848656936	0.7635400447
35	0.5846016445	0.7631507591
36	0.5839472724	0.7630931614
37	0.5850600732	0.7615430027
38	0.5867160609	0.7610030288
39	0.5866961092	0.7602541094
40	0.5870243587	0.7575171431
41	0.5870255451	0.7567990845
42	0.5880947399	0.7551157889
43	0.5879851824	0.7526467347
44	0.5876138382	0.7526298068
45	0.5933565348	0.7505069817
46	0.5932590904	0.7500632703
47	0.5937630457	0.7491154927
48	0.5951862501	0.748185713
49	0.5964180731	0.7472667858
50	0.5964180731	0.7471872111
51	0.5969006745	0.74612609
52	0.598288607	0.7458230927
53	0.5975894683	0.7458199704
54	0.5974143845	0.7458174357
55	0.5982177754	0.7451631503
56	0.5978682967	0.7447923568
57	0.5994071184	0.7440618507
58	0.6042674326	0.7424318483
59	0.604095432	0.7424162413
60	0.6056107649	0.7417846606
61	0.6075279423	0.7412228227
62	0.6066483716	0.7407959914
63	0.6094121809	0.7383290344
64	0.6093964194	0.7382187908
65	0.6109990246	0.7368597396
66	0.6109990246	0.7368542875
67	0.6124275351	0.7363954192
68	0.6115258473	0.7354728667
69	0.6129486977	0.7348592164
