model,AIC,BIC,R2(transf.),RESET p2,RESET p3,BP p,AD p,R2_orig,RMSE,MAE,smearing
Quadratic (full 2nd): y ~ comp + eq + comp^2 + eq^2 + comp:eq,115.16597248966988,130.02999337653912,0.8509292207673123,3.3520471181318255e-21,4.640634390861127e-20,0.48096541318486563,0.0001547726264294636,0.8509292207673123,0.43484386864885555,0.3851576125293849,
LogY Linear: log(y) ~ comp + eq,183.70871576011703,191.14072620355165,0.015086995257305502,0.0002700395647247485,0.0012891054297083067,0.03795025669920644,4.220082639473263e-05,0.0011014866329711603,1.1256354795457475,0.977719366532371,1.2185380853438348
LogY + Interaction: log(y) ~ comp + eq + comp:eq,185.59040674854165,195.49975400645448,0.016410242876403358,1.094466395185918e-08,4.0778102551610545e-11,0.05381136862858484,6.736363618806963e-05,0.002968068472579466,1.1245832839624248,0.9775891374475069,1.2178551901984276
Linear: y ~ comp + eq,275.69018029354254,283.12219073697713,0.010953087486629265,1.777929095842099e-25,6.2121067957236144e-27,0.030105112562058986,1.7411586760680018e-05,0.010953087486629598,1.1200709557461042,0.9772767940999867,
Linear+Interaction: y ~ comp + eq + comp:eq,277.5141794161051,287.4235266740179,0.012929214377865539,2.766109143714304e-13,3.2675450514659647e-13,0.03818610345768767,2.6551640486673142e-05,0.012929214377865428,1.118951439060739,0.9777901063441263,
